"x","X","siteID","slope","WidthWetBed","LeftPos","RightPos","LatSpaceImportance","durationg","durationd"
"1",1,"Site-01",7.41648620008301,4.48,0.339285714285714,0.620535714285714,0.140625,4,0
"2",1,"Site-01",7.41648620008301,4.48,0.339285714285714,0.620535714285714,0.140625,Inf,4
"3",2,"Site-02",7.37286436597258,7.53,-0.814077025232404,-0.646746347941567,0.0836653386454183,18,0
"4",2,"Site-02",7.37286436597258,7.53,-0.814077025232404,-0.646746347941567,0.0836653386454183,24,18
"5",2,"Site-02",7.37286436597258,7.53,-0.814077025232404,-0.646746347941567,0.0836653386454183,Inf,24
"6",3,"Site-03",7.37286436597258,5.63,0.52753108348135,0.75133214920071,0.11190053285968,2,0
"7",3,"Site-03",7.37286436597258,5.63,0.52753108348135,0.75133214920071,0.11190053285968,4,2
"8",3,"Site-03",7.37286436597258,5.63,0.52753108348135,0.75133214920071,0.11190053285968,6,4
"9",3,"Site-03",7.37286436597258,5.63,0.52753108348135,0.75133214920071,0.11190053285968,12,6
"10",3,"Site-03",7.37286436597258,5.63,0.52753108348135,0.75133214920071,0.11190053285968,24,12
"11",3,"Site-03",7.37286436597258,5.63,0.52753108348135,0.75133214920071,0.11190053285968,Inf,24
"12",4,"Site-04",7.37286436597258,6.43,-0.782270606531882,-0.586314152410575,0.0979782270606532,10,0
"13",4,"Site-04",7.37286436597258,6.43,-0.782270606531882,-0.586314152410575,0.0979782270606532,14,10
"14",4,"Site-04",7.37286436597258,6.43,-0.782270606531882,-0.586314152410575,0.0979782270606532,22,14
"15",4,"Site-04",7.37286436597258,6.43,-0.782270606531882,-0.586314152410575,0.0979782270606532,Inf,22
"16",5,"Site-05",9.84451784367779,5.93,-0.325463743676223,-0.112984822934233,0.106239460370995,4,0
"17",5,"Site-05",9.84451784367779,5.93,-0.325463743676223,-0.112984822934233,0.106239460370995,16,4
"18",5,"Site-05",9.84451784367779,5.93,-0.325463743676223,-0.112984822934233,0.106239460370995,Inf,16
"19",7,"Site-07",9.07125140781523,6.18,-0.676375404530744,-0.472491909385113,0.101941747572816,16,0
"20",7,"Site-07",9.07125140781523,6.18,-0.676375404530744,-0.472491909385113,0.101941747572816,26,16
"21",7,"Site-07",9.07125140781523,6.18,-0.676375404530744,-0.472491909385113,0.101941747572816,Inf,26
"22",8,"Site-08",9.07125140781523,6.13,-0.575856443719413,-0.370309951060359,0.102773246329527,8,0
"23",8,"Site-08",9.07125140781523,6.13,-0.575856443719413,-0.370309951060359,0.102773246329527,10,8
"24",8,"Site-08",9.07125140781523,6.13,-0.575856443719413,-0.370309951060359,0.102773246329527,14,10
"25",8,"Site-08",9.07125140781523,6.13,-0.575856443719413,-0.370309951060359,0.102773246329527,Inf,14
"26",9,"Site-09",9.07125140781523,10.23,0.603128054740958,0.726295210166178,0.06158357771261,6,0
"27",9,"Site-09",9.07125140781523,10.23,0.603128054740958,0.726295210166178,0.06158357771261,20,6
"28",9,"Site-09",9.07125140781523,10.23,0.603128054740958,0.726295210166178,0.06158357771261,Inf,20
"29",10,"Site-10",7.105637382565,7.88,-0.682741116751269,-0.522842639593909,0.0799492385786802,2,0
