"fecha";"indicativo";"nombre";"provincia";"altitud";"tmed";"prec";"tmin";"horatmin";"tmax";"horatmax";"hrMedia";"hrMax";"horaHrMax";"hrMin";"horaHrMin"
2024-02-01;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;6;3,6;1,9;05:12:00;10;12:22:00;99;100;NA;95;14:10:00
2024-02-02;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;10,2;0,2;7,7;07:16:00;12,7;13:28:00;93;100;NA;81;NA
2024-02-03;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8,5;0,2;4,4;08:06:00;12,6;13:25:00;93;100;NA;83;12:50:00
2024-02-04;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8,3;0;5,7;00:01:00;10,9;14:45:00;97;100;NA;89;15:00:00
2024-02-05;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8,6;0;2,9;08:15:00;14,3;13:45:00;84;100;NA;59;12:10:00
2024-02-06;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;7,7;0;2,7;23:51:00;12,7;13:54:00;84;100;NA;65;14:30:00
2024-02-07;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8,2;3,2;1,4;06:36:00;15,1;13:04:00;78;100;NA;39;13:00:00
2024-02-08;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;11,2;0,2;7,2;00:32:00;15,1;13:39:00;68;100;NA;51;13:40:00
2024-02-09;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;12,5;30,4;10,6;19:23:00;14,4;13:48:00;75;94;18:50:00;64;13:50:00
2024-02-10;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;9;9;6,6;08:09:00;11,4;00:01:00;85;97;07:10:00;63;20:20:00
2024-02-11;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;7,4;2,8;3,3;20:37:00;11,5;14:34:00;84;100;21:50:00;50;14:40:00
2024-02-12;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8,5;14,4;4,5;23:53:00;12,5;09:42:00;88;100;NA;66;01:30:00
2024-02-13;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8;0;1,8;NA;14,1;14:10:00;97;100;NA;75;14:10:00
2024-02-14;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;10,8;0,2;3,5;06:24:00;18,1;12:37:00;79;100;NA;54;16:30:00
2024-02-15;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;16,2;30,8;10,8;23:05:00;21,7;12:01:00;62;98;23:00:00;43;12:00:00
2024-02-16;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;9,5;11;7,2;23:46:00;11,8;14:20:00;91;100;NA;77;14:30:00
2024-02-17;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;7,8;0;2,9;23:52:00;12,8;14:23:00;87;100;NA;58;13:30:00
2024-02-18;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8;6,6;1,2;07:10:00;14,9;14:25:00;75;100;NA;36;12:20:00
2024-02-19;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;9,9;0;8,1;23:54:00;11,7;NA;90;100;NA;74;13:10:00
2024-02-20;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;9,2;0;4,2;23:42:00;14,1;13:25:00;82;99;NA;60;13:50:00
2024-02-21;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8,6;0;1,4;06:30:00;15,7;14:47:00;87;100;NA;70;11:20:00
2024-02-22;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;11,1;29;4,1;23:54:00;18,1;13:30:00;64;100;23:10:00;38;10:20:00
2024-02-23;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;5,4;20,4;1,8;03:24:00;8,9;12:01:00;92;100;NA;56;11:40:00
2024-02-24;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;4,8;17,2;2,1;06:05:00;7,5;NA;98;100;NA;82;15:40:00
2024-02-25;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;9,4;14;5;00:01:00;13,7;12:59:00;87;100;NA;71;12:10:00
2024-02-26;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;6,8;137,8;5,1;00:28:00;8,5;08:49:00;87;100;NA;72;08:30:00
2024-02-27;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;6,2;65,4;5,4;02:11:00;6,9;17:22:00;91;98;09:30:00;83;17:20:00
2024-02-28;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;7,8;6,4;5,8;07:21:00;9,9;13:49:00;90;100;NA;78;12:30:00
2024-02-29;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8,8;30,2;5;23:53:00;12,5;11:46:00;90;100;NA;70;12:20:00
2024-03-01;"1021Y";"ARTICUTZA (AUTOMATICA)";"NAVARRA";305;8;11;3,5;06:30:00;12,4;14:15:00;76;100;NA;57;14:20:00
