"";"caudal";"caudalparcial";"hydrodatetime"
"1";0,911;0,499;2024-07-31 10:00:00
"2";0,91;0,499;2024-07-31 10:10:00
"3";0,911;0,499;2024-07-31 10:20:00
"4";0,911;0,499;2024-07-31 10:30:00
"5";0,911;0,499;2024-07-31 10:40:00
"6";0,911;0,499;2024-07-31 10:50:00
"7";0,911;0,499;2024-07-31 11:00:00
"8";0,911;0,499;2024-07-31 11:10:00
"9";0,91;0,499;2024-07-31 11:20:00
"10";0,91;0,499;2024-07-31 11:30:00
"11";0,91;0,499;2024-07-31 11:40:00
"12";0,91;0,499;2024-07-31 11:50:00
"13";0,91;0,499;2024-07-31 12:00:00
"14";0,91;0,499;2024-07-31 12:10:00
"15";0,91;0,499;2024-07-31 12:20:00
"16";0,91;0,499;2024-07-31 12:30:00
"17";0,909;0,499;2024-07-31 12:40:00
"18";0,909;0,499;2024-07-31 12:50:00
"19";0,91;0,499;2024-07-31 13:00:00
"20";0,909;0,499;2024-07-31 13:10:00
"21";0,909;0,499;2024-07-31 13:20:00
"22";0,909;0,499;2024-07-31 13:30:00
"23";0,913;0,503;2024-07-31 13:40:00
"24";0,913;0,503;2024-07-31 13:50:00
"25";0,913;0,503;2024-07-31 14:00:00
"26";0,912;0,503;2024-07-31 14:10:00
"27";0,912;0,503;2024-07-31 14:20:00
"28";0,911;0,503;2024-07-31 14:30:00
"29";0,899;0,499;2024-07-31 14:40:00
"30";0,872;0,495;2024-07-31 14:50:00
"31";0,858;0,495;2024-07-31 15:00:00
"32";0,848;0,491;2024-07-31 15:10:00
"33";0,845;0,491;2024-07-31 15:20:00
"34";0,849;0,495;2024-07-31 15:30:00
"35";0,868;0,499;2024-07-31 15:40:00
"36";0,881;0,499;2024-07-31 15:50:00
"37";0,885;0,499;2024-07-31 16:00:00
"38";0,887;0,499;2024-07-31 16:10:00
"39";0,887;0,499;2024-07-31 16:20:00
"40";0,886;0,499;2024-07-31 16:30:00
"41";0,886;0,499;2024-07-31 16:40:00
"42";0,885;0,499;2024-07-31 16:50:00
"43";0,887;0,499;2024-07-31 17:00:00
"44";0,887;0,499;2024-07-31 17:10:00
"45";0,878;0,499;2024-07-31 17:20:00
"46";0,862;0,495;2024-07-31 17:30:00
"47";0,858;0,495;2024-07-31 17:40:00
"48";0,856;0,495;2024-07-31 17:50:00
"49";0,855;0,495;2024-07-31 18:00:00
"50";0,854;0,495;2024-07-31 18:10:00
"51";0,855;0,495;2024-07-31 18:20:00
"52";0,855;0,495;2024-07-31 18:30:00
"53";0,855;0,495;2024-07-31 18:40:00
"54";0,856;0,495;2024-07-31 18:50:00
"55";0,856;0,495;2024-07-31 19:00:00
"56";0,857;0,495;2024-07-31 19:10:00
"57";0,857;0,495;2024-07-31 19:20:00
"58";0,859;0,495;2024-07-31 19:30:00
"59";0,864;0,499;2024-07-31 19:40:00
"60";0,86;0,495;2024-07-31 19:50:00
"61";0,862;0,495;2024-07-31 20:00:00
"62";0,866;0,499;2024-07-31 20:10:00
"63";0,867;0,499;2024-07-31 20:20:00
"64";0,868;0,499;2024-07-31 20:30:00
"65";0,869;0,499;2024-07-31 20:40:00
"66";0,87;0,499;2024-07-31 20:50:00
"67";0,87;0,499;2024-07-31 21:00:00
"68";0,87;0,499;2024-07-31 21:10:00
"69";0,87;0,499;2024-07-31 21:20:00
"70";0,87;0,499;2024-07-31 21:30:00
"71";0,871;0,499;2024-07-31 21:40:00
"72";0,871;0,499;2024-07-31 21:50:00
"73";0,871;0,499;2024-07-31 22:00:00
"74";0,871;0,499;2024-07-31 22:10:00
"75";0,871;0,499;2024-07-31 22:20:00
"76";0,872;0,499;2024-07-31 22:30:00
"77";0,872;0,499;2024-07-31 22:40:00
"78";0,873;0,499;2024-07-31 22:50:00
"79";0,873;0,499;2024-07-31 23:00:00
"80";0,873;0,499;2024-07-31 23:10:00
"81";0,876;0,499;2024-07-31 23:20:00
"82";0,899;0,503;2024-07-31 23:30:00
"83";0,912;0,503;2024-07-31 23:40:00
