siteID;2024/2/5;2024/2/6;2024/2/7;2024/2/8;2024/2/9;2024/2/10;2024/2/11;2024/2/12;2024/2/13;2024/2/14;2024/2/15;2024/2/16;2024/2/17;2024/2/18;2024/2/19;2024/2/20;2024/2/21;2024/2/22;2024/2/23;2024/2/24;2024/2/25;2024/2/26;2024/2/27;;;;;
Site-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-06;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-08;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-09;0;0;0;1;2;1;5;6;7;9;12;2;5;5;7;8;9;9;1;1;0;0;0;;;;;
Site-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-11;0;0;0;0;0;0;0;0;0;1;1;0;2;5;8;10;13;13;6;6;5;4;0;;;;;
Site-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;;;;;
Site-22;0;0;0;0;0;0;0;0;2;2;5;1;1;1;1;7;7;7;3;2;3;2;0;;;;;
Site-23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;;;;;
Site-24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-27;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-29;0;0;0;0;0;0;0;1;2;4;6;0;0;0;0;1;1;1;0;0;0;0;0;;;;;
Site-30;0;3;3;4;4;0;4;5;6;6;5;0;0;1;0;0;0;0;0;0;0;0;0;;;;;
Site-31;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;2;2;2;1;2;0;0;0;;;;;
Site-32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-33;0;0;0;0;0;0;1;1;0;2;2;0;0;1;1;1;1;1;0;0;0;0;0;;;;;
Site-34;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-35;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-36;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
Site-37;NA;0;0;0;0;0;0;0;1;4;4;1;2;2;4;4;5;5;0;0;0;0;0;;;;;
Site-38;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;;;;;
Site-39;NA;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;;;;;
Site-40;NA;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;;;;;
