"";"EGUNA";"Tmax";"Tmin";"Precipitation";"hydrodatetime"
"1";"2024/7/26";22;17;0,3;2024-07-26
"2";"2024/7/27";20,5;17;0,6;2024-07-27
"3";"2024/7/28";30,5;17,5;0;2024-07-28
"4";"2024/7/29";32;15,5;0;2024-07-29
"5";"2024/7/30";29;16;0;2024-07-30
"6";"2024/7/31";28;15;0;2024-07-31
"7";"2024/8/1";22,5;16;0,1;2024-08-01
"8";"2024/8/2";20;16,5;0,2;2024-08-02
"9";"2024/8/3";23,5;13,5;0;2024-08-03
"10";"2024/8/4";27;14;0;2024-08-04
"11";"2024/8/5";26;16,5;0,8;2024-08-05
"12";"2024/8/6";22,5;16,5;0,2;2024-08-06
"13";"2024/8/7";23,5;16;0;2024-08-07
"14";"2024/8/8";24;16,5;0;2024-08-08
"15";"2024/8/9";27;15;0;2024-08-09
"16";"2024/8/10";31;13,5;0;2024-08-10
"17";"2024/8/11";33;15;0;2024-08-11
"18";"2024/8/12";23;17,5;0,2;2024-08-12
"19";"2024/8/13";24;15;25,5;2024-08-13
"20";"2024/8/14";19,5;15;18,3;2024-08-14
"21";"2024/8/15";20;12,5;0;2024-08-15
"22";"2024/8/16";24;13,5;0;2024-08-16
"23";"2024/8/17";25;11;12,3;2024-08-17
"24";"2024/8/18";19;12;0,4;2024-08-18
"25";"2024/8/19";22,5;9;0;2024-08-19
"26";"2024/8/20";23;12;6,2;2024-08-20
"27";"2024/8/21";23;12,5;0;2024-08-21
"28";"2024/8/22";23,5;11;0;2024-08-22
"29";"2024/8/23";26;11,5;0;2024-08-23
"30";"2024/8/24";29;12;15,2;2024-08-24
"31";"2024/8/25";19;15;0,6;2024-08-25
"32";"2024/8/26";23;14;0;2024-08-26
"33";"2024/8/27";28,5;11;0;2024-08-27
"34";"2024/8/28";26;14;0,7;2024-08-28
"35";"2024/8/29";24,5;14,5;17,6;2024-08-29
"36";"2024/8/30";23,5;17;0,2;2024-08-30
"37";"2024/8/31";26,5;17;0,6;2024-08-31
