caudal;caudalparcial;hydrodatetime
1,241;0,439;2024/2/5 10:00
1,242;0,439;2024/2/5 10:10
1,24;0,436;2024/2/5 10:20
1,242;0,436;2024/2/5 10:30
1,245;0,439;2024/2/5 10:40
1,245;0,439;2024/2/5 10:50
1,248;0,439;2024/2/5 11:00
1,244;0,436;2024/2/5 11:10
1,247;0,439;2024/2/5 11:20
1,248;0,439;2024/2/5 11:30
1,246;0,436;2024/2/5 11:40
1,247;0,439;2024/2/5 11:50
1,246;0,439;2024/2/5 12:00
1,244;0,439;2024/2/5 12:10
1,244;0,439;2024/2/5 12:20
1,256;0,439;2024/2/5 12:30
1,279;0,443;2024/2/5 12:40
1,289;0,446;2024/2/5 12:50
1,281;0,443;2024/2/5 13:00
1,264;0,439;2024/2/5 13:10
1,255;0,439;2024/2/5 13:20
1,253;0,439;2024/2/5 13:30
1,251;0,439;2024/2/5 13:40
1,25;0,439;2024/2/5 13:50
1,251;0,439;2024/2/5 14:00
1,251;0,439;2024/2/5 14:10
1,25;0,439;2024/2/5 14:20
1,249;0,439;2024/2/5 14:30
1,248;0,439;2024/2/5 14:40
1,248;0,439;2024/2/5 14:50
1,248;0,439;2024/2/5 15:00
1,248;0,439;2024/2/5 15:10
1,249;0,439;2024/2/5 15:20
1,236;0,436;2024/2/5 15:30
1,224;0,436;2024/2/5 15:40
1,215;0,432;2024/2/5 15:50
1,215;0,436;2024/2/5 16:00
1,208;0,432;2024/2/5 16:10
1,21;0,436;2024/2/5 16:20
1,206;0,432;2024/2/5 16:30
1,205;0,432;2024/2/5 16:40
1,208;0,432;2024/2/5 16:50
1,225;0,436;2024/2/5 17:00
1,243;0,439;2024/2/5 17:10
1,253;0,439;2024/2/5 17:20
1,258;0,439;2024/2/5 17:30
1,261;0,439;2024/2/5 17:40
1,259;0,439;2024/2/5 17:50
1,248;0,439;2024/2/5 18:00
1,24;0,436;2024/2/5 18:10
1,237;0,436;2024/2/5 18:20
1,236;0,436;2024/2/5 18:30
1,235;0,436;2024/2/5 18:40
1,235;0,436;2024/2/5 18:50
1,236;0,436;2024/2/5 19:00
1,236;0,436;2024/2/5 19:10
1,235;0,436;2024/2/5 19:20
1,235;0,436;2024/2/5 19:30
1,235;0,436;2024/2/5 19:40
1,235;0,436;2024/2/5 19:50
1,236;0,436;2024/2/5 20:00
1,235;0,436;2024/2/5 20:10
1,235;0,436;2024/2/5 20:20
1,235;0,436;2024/2/5 20:30
1,235;0,436;2024/2/5 20:40
1,234;0,436;2024/2/5 20:50
1,234;0,436;2024/2/5 21:00
1,235;0,436;2024/2/5 21:10
1,235;0,436;2024/2/5 21:20
1,235;0,436;2024/2/5 21:30
1,235;0,436;2024/2/5 21:40
1,235;0,436;2024/2/5 21:50
