Latrine_id;2023/3/20;2023/3/30;2023/5/3;2023/5/9;2023/5/30;2023/6/1;2023/6/2;2023/6/3;2023/6/4;2023/6/5;2023/6/6;2023/6/7;2023/6/8;2023/6/9;2023/7/6;2023/7/7;2023/7/9;2023/7/19;2023/7/26;2023/8/2;2023/8/3;2023/8/10;2023/8/11;2023/8/15;2023/8/16;2023/8/22
Kkh1;0;1;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0
Kkh2;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh3;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh4;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;1;0;0;0;0;NA;0;0;0;0;0
Kkh5;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh6;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh7;0;0;0;1;0;0;0;0;0;0;NA;0;0;0;1;1;1;0;1;1;NA;0;0;1;0;1
Kkh8;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;0;1;1;0;1;1;1;NA;0;0;0;0;0
Kkh9;NA;NA;NA;NA;0;0;0;0;0;0;NA;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh10;0;1;0;0;0;0;0;0;1;0;NA;0;0;0;0;0;1;1;1;1;NA;1;1;1;0;0
Kkh11;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh12;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh13;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;1;1;0;NA;0;0;1;0;1
Kkh14;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh15;NA;NA;NA;NA;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0
Kkh16;NA;NA;NA;NA;NA;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh17;NA;NA;NA;NA;NA;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh18;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kkh19;NA;NA;NA;NA;NA;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0
